signature,timestamp,from,to,amount_sol,depth,path
wBYK3Mdixu4vTsWm9Wz4WcfH5aN1Rm3ATMcmDNuFLvqvG4AbbNDs8Qa1PjCTiGqtQPRjk5PAkTtHZRwwd5HysHT,2026-02-10T04:36:05.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,6ANGpigiXR9rkVoPhmwdoKPpSxaDHnvx3EjoYXM9SKed,3.000080000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4xfCceZTBQRSbQLJsLVrfp2UVp9ByLPs7crH296taDersWXDZ2uugZfQWqEm6DuG5vqgZr66QE6gsmp8SeQcpQva,2026-02-10T04:35:36.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,7p4ChEwzZtKPucregfJ3DLyEmQh6PXjuKNht87sopM7r,0.552810000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
3BAbeUK1LCGG6tmaxozGyndkgoM2BFfNjeWXbE4FX2smjtiJtB7ZyCBtGqzcgw6o5XJNhN8bLoYeY9HHnvWh9RXw,2026-02-10T04:34:10.000Z,8gcNuP7zDgcxyPwioepp6iVpE5rVorVST5gXSVVYWrqh,BTQMvyLB9p6VM91YXPLS1bwMP5R7o9Ai5LTGJoCbBYNh,0.000905881,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
3BAbeUK1LCGG6tmaxozGyndkgoM2BFfNjeWXbE4FX2smjtiJtB7ZyCBtGqzcgw6o5XJNhN8bLoYeY9HHnvWh9RXw,2026-02-10T04:34:10.000Z,8gcNuP7zDgcxyPwioepp6iVpE5rVorVST5gXSVVYWrqh,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,0.000905881,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2kighxfyphsLumkZpRTxS9mbWTLZGhqqAVay36N4LYqLeFJFaaM7WSFs4XEhY1T7338R63DUhh5yXjXjzV4FJKRc,2026-02-10T04:33:56.000Z,8gcNRBQLxsKUERa51Hp5Be725wKisP2d9o6XnMKpHFnd,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,3.000080000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4aPk7MzmRtnDk6FhnaxQ88LcNkhZk3ZXRj2pbHLWghKCafsdovDGSPS2vaMFhZrov7HzPGkMGxXsTZiR3FtRVGWS,2026-02-09T17:18:39.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,8Wkcn58GuDQUDuqnkrWKu22qwddHQsGm1YKVDW5ydqpZ,0.002154079,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4R3ppBjbq3g2ttrFWd7xJKp4bbQkuq6CXmzjTwMuTvvHoNVfsYZ3dj6DCq3TTUQjvyxxWm6u89jxFXipoNxtKpHm,2026-02-09T17:18:16.000Z,DryJ3M5eKUmQBQ24cqJgBit8CcTXuEKAU9jnipWaFfNd,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,1.393620190,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4oXDKf391DDZU2s7Uj5NSE86XXeobY4o3bVUnVpAJ45iteRaeaDpALqN4iQGfRBWnbBzv7Jiy3Ap2sgTSLxTPr7R,2026-02-09T07:27:56.000Z,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
3tksoX7qheWptPCoXhRdfN6PirausT93rWMhb1qkNfn6rx11SiUYM9VwJMgNXbCYcWQDYaGA7vc9GXUvN8ZkmY4o,2026-02-09T07:26:03.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,7p4ChEwzZtKPucregfJ3DLyEmQh6PXjuKNht87sopM7r,0.128972000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2M3sGS2RawjwGCL6aVBMbdMN3UYmZrmT3nfvrvBspLTihmJiScJh5ywHSCEAUrUzZDkJLHqUdXKkt3zVKRh9Yjty,2026-02-09T07:11:52.000Z,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
Y3SJLnuxZXphG1gepuGZZjtwJj2BRDfFLjmK8fH2Bf5AiYXYZAXqfeVFmspLw7dqrMmwJur1ngPviKvrzDauuQD,2026-02-09T07:10:28.000Z,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
4MXnpS2AZR5DgvXFmGs7y1sq6rQUXjKjFXpkP7Yjk8wXEioki8DTNe5qRc2JARCZhmV7owYJnF2s1Zo8A9zNRbgt,2026-02-09T06:58:32.000Z,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
2nzMBR33ee6tbBK68X5iVZjNSedko5pmBUM1cAQM4XmavtA7dG9bEXdbioFTyLB6vn4Cud3NGAkeacReEv8oQwDR,2026-02-09T06:53:05.000Z,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
3LTSNNsgJVWdKyTPw946Ksh1LXNDQridPC5Mz7Wnf1Qsoq4maT6xXNUrtS9vKCmGAZLP6BKPJroGUU6z4xtLxop6,2026-02-09T06:52:28.000Z,po27vzv7pSZYsroDopmGVVBVAqxg4GcyZXxmCkoejFB,pohJj8FSmifd5V2kpgbzekrnnwZ89LmDg7kEFEu5vuW,0.000105019,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
5SxnPPNr5LnyUT2doyuK5xA7kB9GFZiYpQns2SAecL3bVN8i86XmkUa1Bh5FkBCmMwdNajPvsQFZtZXnoJTpvxVv,2026-02-09T06:51:08.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,7yV8C8So94KSnK3kZUvH1QFFiLkmxYw1XwVusoQrXtkr,12.000080000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
Ne9hKaLKGReDnEvPJsC3m9W1kmhnHaopuWBx9oatfRfip7A9NMktQUpyP3GPsSQFQoxbW5QyMBqATbBvkrFiQtL,2026-02-09T06:49:52.000Z,Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21,JDrTZEP1QfoFQsqMobeEn1H1BYtBUUy3mVit4gHxnMVy,0.069080000,0,"Foym8s46ib3VGRckSWijmQKb9UfcRfuhQqMvHpmN1w21"
